InventoryItem,Parent
CUMMIN SEEDS - ZEERA,RAITA
CUMMIN POWDER - ZEERA,RAITA
BLACK PEPPER POWDER,RAITA
WHITE PEPPER POWDER,RAITA
SALT,RAITA
 DAHI CURD,RAITA
SALT,PAKORA
BESAN,PAKORA
TURMERIC POWDER - HALDI,PAKORA
CORIANDER SEEDS - DHANIA,PAKORA
CUMMIN SEEDS - ZEERA,PAKORA
CUMMIN POWDER - ZEERA,PAKORA
CORIANDER - KOTHMIR DHANIA,PAKORA
PODINA MINT LEAVES,PAKORA
PLAIN SODA (500ML),PAKORA
CORIANDER POWDER - DHANIA,PAKORA
EVA (Cooking Oil  liter Pkt),PAKORA
GARLIC PASTE  LEHSAN PASTE,PAKORA
GINGER PASTE  ADRAK PASTE,PAKORA
ONION,PAKORA
RED POTATO - LAL ALOO,PAKORA
APPLE,FRESH MIX FRUIT
BANANA,FRESH MIX FRUIT
SWEET MELON,FRESH MIX FRUIT
GRAPES GREEN,FRESH MIX FRUIT
GRAPE FRUIT,FRESH MIX FRUIT
POMEGRANATE,FRESH MIX FRUIT
SALT,CHICKEN STEAK
CHICKEN BONELESS,CHICKEN STEAK
CUMMIN SEEDS - ZEERA,CHICKEN STEAK
CHICKEN POWDER,CHICKEN STEAK
BLACK PEPPER POWDER,CHICKEN STEAK
WHITE PEPPER POWDER,CHICKEN STEAK
RED POTATO - LAL ALOO,CHICKEN STEAK
FRENCH BEANS - FANSI,CHICKEN STEAK
CARROT - GAJAR,CHICKEN STEAK
SPRING ONION - LILY PIYAZ,CHICKEN STEAK
GOL DUDHI KADDUV,CHICKEN STEAK
BREAD SLICE LARGE,CHICKEN SANDWICH
CHICKEN BONELESS,CHICKEN SANDWICH
CUMMIN SEEDS - ZEERA,CHICKEN SANDWICH
CHICKEN POWDER,CHICKEN SANDWICH
SALT,CHICKEN SANDWICH
WHITE PEPPER POWDER,CHICKEN SANDWICH
EVA (Cooking Oil  liter Pkt),CHICKEN SANDWICH
CUCUMBER - KEHRA,CHICKEN SANDWICH
TOMATO,CHICKEN SANDWICH
MAYONAISE PLAIN,CHICKEN SANDWICH
BLACK PEPPER POWDER,CHICKEN SANDWICH
GINGER PASTE  ADRAK PASTE,CHICKEN SANDWICH
GARLIC PASTE  LEHSAN PASTE,CHICKEN SANDWICH
CHEESE SLICE,CHICKEN SANDWICH
TURMERIC POWDER - HALDI,CHICKEN SANDWICH
TOMATO KETCHUP,CHICKEN SANDWICH
SALT,CHICKEN TIKKA PCS
CHICKEN KARAHI CUT MEAT,CHICKEN TIKKA PCS
GINGER PASTE  ADRAK PASTE,CHICKEN TIKKA PCS
GARLIC PASTE  LEHSAN PASTE,CHICKEN TIKKA PCS
CUMMIN SEEDS - ZEERA,CHICKEN TIKKA PCS
TURMERIC POWDER - HALDI,CHICKEN TIKKA PCS
CHICKEN POWDER,CHICKEN TIKKA PCS
EVA (Cooking Oil  liter Pkt),CHICKEN TIKKA PCS
SALT,CHICKEN NECK SOUP
CHICKEN NECK,CHICKEN NECK SOUP
CHICKEN CUBES (51 GRMS),CHICKEN NECK SOUP
CHICKEN POWDER,CHICKEN NECK SOUP
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,CHICKEN NECK SOUP
BLACK PEPPER POWDER,CHICKEN NECK SOUP
WHITE PEPPER POWDER,CHICKEN NECK SOUP
VINEGAR,CHICKEN NECK SOUP
3,CHICKEN NECK SOUP
 DAHI CURD,BOILED POTATO SALAD
BLACK PEPPER POWDER,BOILED POTATO SALAD
WHITE PEPPER POWDER,BOILED POTATO SALAD
RAI - MUSTARD WHOLE,BOILED POTATO SALAD
SALT,BOILED POTATO SALAD
RED POTATO - LAL ALOO,BOILED POTATO SALAD
SALT,MIX SALAD
CUCUMBER - KEHRA,MIX SALAD
TOMATO,MIX SALAD
CARROT - GAJAR,MIX SALAD
BEETROOT,MIX SALAD
WHITE PEPPER POWDER,MIX SALAD
VINEGAR,MIX SALAD
SALT,OLD CHICKEN BURGER OLD 
RED POTATO - LAL ALOO,OLD CHICKEN BURGER OLD 
CHICKEN QEEMA,OLD CHICKEN BURGER OLD 
CUMMIN SEEDS - ZEERA,OLD CHICKEN BURGER OLD 
CUMMIN POWDER - ZEERA,OLD CHICKEN BURGER OLD 
TURMERIC POWDER - HALDI,OLD CHICKEN BURGER OLD 
WHITE PEPPER POWDER,OLD CHICKEN BURGER OLD 
LONG BUN,OLD CHICKEN BURGER OLD 
CHEESE SLICE,OLD CHICKEN BURGER OLD 
CORIANDER POWDER - DHANIA,OLD CHICKEN BURGER OLD 
CHICKEN POWDER,OLD CHICKEN BURGER OLD 
EVA (Cooking Oil  liter Pkt),OLD CHICKEN BURGER OLD 
GINGER PASTE  ADRAK PASTE,OLD CHICKEN BURGER OLD 
GARLIC PASTE  LEHSAN PASTE,OLD CHICKEN BURGER OLD 
BLACK PEPPER POWDER,OLD CHICKEN BURGER OLD 
SALT,KITCHRI VAGHRELI
BASMATI RICE,KITCHRI VAGHRELI
ONION,KITCHRI VAGHRELI
GARLIC - LEHSAN,KITCHRI VAGHRELI
BHAJIA CHILLIES - BIG PAKORA MIRCH,KITCHRI VAGHRELI
EVA (Cooking Oil  liter Pkt),KITCHRI VAGHRELI
MOONG DAAL YELLOW,KITCHRI VAGHRELI
CUMMIN SEEDS - ZEERA,KITCHRI VAGHRELI
GARAM MASALA POWDER,KITCHRI VAGHRELI
CORIANDER POWDER - DHANIA,KITCHRI VAGHRELI
TOMATO,KITCHRI VAGHRELI
SALT,CHEESE SANDWICH
BREAD SLICE LARGE,CHEESE SANDWICH
CHEESE SLICE,CHEESE SANDWICH
BUTTER,CHEESE SANDWICH
BLACK PEPPER POWDER,CHEESE SANDWICH
WHITE PEPPER POWDER,CHEESE SANDWICH
CHICKEN POWDER,VEGETABLE CLEAR SOUP
CARROT - GAJAR,VEGETABLE CLEAR SOUP
CAULIFLOWER - GOBI,VEGETABLE CLEAR SOUP
SALT,VEGETABLE CLEAR SOUP
MAIDA,VEGETABLE CLEAR SOUP
Tinda,VEGETABLE CLEAR SOUP
Gawar Phalli,VEGETABLE CLEAR SOUP
SALT,BEEF NIHARI
BEEF MEAT,BEEF NIHARI
SHAN NIHARI MASALA ,BEEF NIHARI
CUMMIN SEEDS - ZEERA,BEEF NIHARI
SUNT - GINGER ADRAK POWDER,BEEF NIHARI
CHICKEN POWDER,BEEF NIHARI
GINGER - ADRAK,BEEF NIHARI
LEMON,BEEF NIHARI
CORIANDER - KOTHMIR DHANIA,BEEF NIHARI
ATTA,BEEF NIHARI
EVA (Cooking Oil  liter Pkt),BEEF NIHARI
CUMMIN POWDER - ZEERA,BEEF NIHARI
CORIANDER POWDER - DHANIA,BEEF NIHARI
TURMERIC POWDER - HALDI,BEEF NIHARI
GINGER PASTE  ADRAK PASTE,BEEF NIHARI
GARLIC PASTE  LEHSAN PASTE,BEEF NIHARI
CHAT MASALA,BEEF NIHARI
SALT,CABBAGE SALAD COLE SLAW
CABBAGE BAND GOBI,CABBAGE SALAD COLE SLAW
MAYONAISE PLAIN,CABBAGE SALAD COLE SLAW
WHITE PEPPER POWDER,CABBAGE SALAD COLE SLAW
Cream Nestle pkt,CABBAGE SALAD COLE SLAW
BLACK PEPPER POWDER,CABBAGE SALAD COLE SLAW
SALT,CHICKEN KABAB TARKARI
CHICKEN MINCE,CHICKEN KABAB TARKARI
 DAHI CURD,CHICKEN KABAB TARKARI
EVA (Cooking Oil  liter Pkt),CHICKEN KABAB TARKARI
TOMATO,CHICKEN KABAB TARKARI
ONION,CHICKEN KABAB TARKARI
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,CHICKEN KABAB TARKARI
CORIANDER - KOTHMIR DHANIA,CHICKEN KABAB TARKARI
GINGER - ADRAK,CHICKEN KABAB TARKARI
ONION BIRISTA,CHICKEN KABAB TARKARI
CUMMIN SEEDS - ZEERA,CHICKEN KABAB TARKARI
TURMERIC POWDER - HALDI,CHICKEN KABAB TARKARI
CUMMIN POWDER - ZEERA,CHICKEN KABAB TARKARI
CORIANDER POWDER - DHANIA,CHICKEN KABAB TARKARI
GINGER PASTE  ADRAK PASTE,CHICKEN KABAB TARKARI
GARLIC PASTE  LEHSAN PASTE,CHICKEN KABAB TARKARI
SALT,Chicken Kari
CHICKEN KARAHI CUT MEAT,Chicken Kari
EVA (Cooking Oil  liter Pkt),Chicken Kari
KARI MASALA,Chicken Kari
Coconut Cream Powder,Chicken Kari
CUMMIN SEEDS - ZEERA,Chicken Kari
SAUF FENNEL SAUF POWDER,Chicken Kari
CHAT MASALA,Chicken Kari
 DAHI CURD,Chicken Kari
Badiyan,Chicken Kari
COCONUT POWDER KHOPRRA,Chicken Kari
Kajju,Chicken Kari
GARAM MASALA WHOLE,Chicken Kari
TURMERIC POWDER - HALDI,Chicken Kari
CUMMIN POWDER - ZEERA,Chicken Kari
CORIANDER POWDER - DHANIA,Chicken Kari
CHICKEN POWDER,Chicken Kari
GINGER PASTE  ADRAK PASTE,Chicken Kari
GARLIC PASTE  LEHSAN PASTE,Chicken Kari
ONION,Chicken Kari
BANANA,BANANA MILK SHAKE
Fresh Milk,BANANA MILK SHAKE
WHITE SUGAR,BANANA MILK SHAKE
EGG ,SWEET & SOUR SHASLAC
EVA (Cooking Oil  liter Pkt),SWEET & SOUR SHASLAC
CHILLI SAUCE,SWEET & SOUR SHASLAC
SOYA SAUCE (750 ml),SWEET & SOUR SHASLAC
MATTAR PEAS,SWEET & SOUR SHASLAC
GINGER - ADRAK,SWEET & SOUR SHASLAC
GARLIC - LEHSAN,SWEET & SOUR SHASLAC
CARROT - GAJAR,SWEET & SOUR SHASLAC
TOMATO KETCHUP,SWEET & SOUR SHASLAC
WHITE PEPPER POWDER,SWEET & SOUR SHASLAC
BABY CORN,SWEET & SOUR SHASLAC
MAIDA,SWEET & SOUR SHASLAC
SALT,SWEET & SOUR SHASLAC
CHICKEN BONELESS,SWEET & SOUR SHASLAC
GREEN CAPSICUM,SWEET & SOUR SHASLAC
ONION,SWEET & SOUR SHASLAC
CARROT - GAJAR,GAJJAR AND BEETROOT
BEETROOT,GAJJAR AND BEETROOT
SALT,DAHI KACHUMBAR
 DAHI CURD,DAHI KACHUMBAR
CUCUMBER - KEHRA,DAHI KACHUMBAR
TOMATO,DAHI KACHUMBAR
BLACK PEPPER POWDER,DAHI KACHUMBAR
WHITE PEPPER POWDER,DAHI KACHUMBAR
CUMMIN POWDER - ZEERA,DAHI KACHUMBAR
SALT,"MIX VEGETABLE CHULAI, PALAK, METHI"
PALAK,"MIX VEGETABLE CHULAI, PALAK, METHI"
CHOLAI BAJI AMARANTH LEVES,"MIX VEGETABLE CHULAI, PALAK, METHI"
METHI BHAJI - FENUGREEK,"MIX VEGETABLE CHULAI, PALAK, METHI"
EVA (Cooking Oil  liter Pkt),"MIX VEGETABLE CHULAI, PALAK, METHI"
CUMMIN SEEDS - ZEERA,"MIX VEGETABLE CHULAI, PALAK, METHI"
GINGER PASTE  ADRAK PASTE,"MIX VEGETABLE CHULAI, PALAK, METHI"
GARLIC PASTE  LEHSAN PASTE,"MIX VEGETABLE CHULAI, PALAK, METHI"
CHICKEN POWDER,"MIX VEGETABLE CHULAI, PALAK, METHI"
CUMMIN POWDER - ZEERA,"MIX VEGETABLE CHULAI, PALAK, METHI"
TURMERIC POWDER - HALDI,"MIX VEGETABLE CHULAI, PALAK, METHI"
CORIANDER POWDER - DHANIA,"MIX VEGETABLE CHULAI, PALAK, METHI"
ONION,"MIX VEGETABLE CHULAI, PALAK, METHI"
TOMATO,"MIX VEGETABLE CHULAI, PALAK, METHI"
GARAM MASALA POWDER,"MIX VEGETABLE CHULAI, PALAK, METHI"
CARROT - GAJAR,GAJJAR ONLY PLAIN 
CABBAGE BAND GOBI,CABBAGE SALAD WITH VINGER
VINEGAR,CABBAGE SALAD WITH VINGER
BLACK PEPPER POWDER,CABBAGE SALAD WITH VINGER
ICEBERG,ICEBERG GREEN SALAD
CUCUMBER - KEHRA,ICEBERG GREEN SALAD
FRENCH BEANS - FANSI,ICEBERG GREEN SALAD
MATTAR PEAS,ICEBERG GREEN SALAD
VINEGAR,ICEBERG GREEN SALAD
BLACK PEPPER POWDER,ICEBERG GREEN SALAD
WHITE PEPPER POWDER,ICEBERG GREEN SALAD
SALT,ALOO DAHI SALAD
GINGER PASTE  ADRAK PASTE,ALOO DAHI SALAD
GARLIC PASTE  LEHSAN PASTE,ALOO DAHI SALAD
CUMMIN SEEDS - ZEERA,ALOO DAHI SALAD
CHICKEN POWDER,ALOO DAHI SALAD
CHAT MASALA,ALOO DAHI SALAD
BLACK PEPPER POWDER,ALOO DAHI SALAD
WHITE PEPPER POWDER,ALOO DAHI SALAD
RED POTATO - LAL ALOO,ALOO DAHI SALAD
 DAHI CURD,ALOO DAHI SALAD
SALT,MACRONI SALAD
MACARONI,MACRONI SALAD
CHICKEN BONELESS,MACRONI SALAD
Cream Nestle pkt,MACRONI SALAD
 DAHI CURD,MACRONI SALAD
MAYONAISE PLAIN,MACRONI SALAD
BLACK PEPPER POWDER,MACRONI SALAD
WHITE PEPPER POWDER,MACRONI SALAD
SALT,CUTLUS
CHICKEN QEEMA,CUTLUS
BREAD CRUMS,CUTLUS
EGG ,CUTLUS
CUMMIN POWDER - ZEERA,CUTLUS
CORIANDER POWDER - DHANIA,CUTLUS
EVA (Cooking Oil  liter Pkt),CUTLUS
CHICKEN POWDER,CUTLUS
WHITE PEPPER POWDER,CUTLUS
GINGER PASTE  ADRAK PASTE,CUTLUS
GARLIC PASTE  LEHSAN PASTE,CUTLUS
CORIANDER - KOTHMIR DHANIA,CUTLUS
Karak Bread,CUTLUS
BREAD SLICE LARGE,CHICKEN SANDWICH READY
CHICKEN MAYONIESE,CHICKEN SANDWICH READY
TOMATO,CHICKEN SANDWICH READY
CORIANDER POWDER - DHANIA,CHICKEN QEEMA KABAB DRY
BREAD CRUMS,CHICKEN QEEMA KABAB DRY
EGG ,CHICKEN QEEMA KABAB DRY
RED POTATO - LAL ALOO,CHICKEN QEEMA KABAB DRY
CHICKEN QEEMA,CHICKEN QEEMA KABAB DRY
GARLIC PASTE  LEHSAN PASTE,CHICKEN QEEMA KABAB DRY
GINGER PASTE  ADRAK PASTE,CHICKEN QEEMA KABAB DRY
CUMMIN SEEDS - ZEERA,CHICKEN QEEMA KABAB DRY
CUMMIN POWDER - ZEERA,CHICKEN QEEMA KABAB DRY
TURMERIC POWDER - HALDI,CHICKEN QEEMA KABAB DRY
SALT,CHICKEN QEEMA KABAB DRY
EVA (Cooking Oil  liter Pkt),CHICKEN QEEMA KABAB DRY
SALT,MOONG PULAWO MUG PULAWO
GREEN GRAM WHOLE - MOONG DAAL,MOONG PULAWO MUG PULAWO
BASMATI RICE,MOONG PULAWO MUG PULAWO
TOMATO,MOONG PULAWO MUG PULAWO
 DAHI CURD,MOONG PULAWO MUG PULAWO
CORIANDER - KOTHMIR DHANIA,MOONG PULAWO MUG PULAWO
POTATO (BIG SIZE),MOONG PULAWO MUG PULAWO
EVA (Cooking Oil  liter Pkt),MOONG PULAWO MUG PULAWO
007 BIRYANI MASALA,MOONG PULAWO MUG PULAWO
SUNT - GINGER ADRAK POWDER,MOONG PULAWO MUG PULAWO
CHAT MASALA,MOONG PULAWO MUG PULAWO
PODINA MINT LEAVES,MOONG PULAWO MUG PULAWO
CUMMIN SEEDS - ZEERA,MOONG PULAWO MUG PULAWO
CUMMIN POWDER - ZEERA,MOONG PULAWO MUG PULAWO
CORIANDER POWDER - DHANIA,MOONG PULAWO MUG PULAWO
TURMERIC POWDER - HALDI,MOONG PULAWO MUG PULAWO
CHICKEN POWDER,MOONG PULAWO MUG PULAWO
SALT,Chicken Qeema w/ Aloo (New)
CHICKEN QEEMA,Chicken Qeema w/ Aloo (New)
 DAHI CURD,Chicken Qeema w/ Aloo (New)
CUMMIN SEEDS - ZEERA,Chicken Qeema w/ Aloo (New)
CUMMIN POWDER - ZEERA,Chicken Qeema w/ Aloo (New)
TURMERIC POWDER - HALDI,Chicken Qeema w/ Aloo (New)
CORIANDER - KOTHMIR DHANIA,Chicken Qeema w/ Aloo (New)
GINGER PASTE  ADRAK PASTE,Chicken Qeema w/ Aloo (New)
GARLIC PASTE  LEHSAN PASTE,Chicken Qeema w/ Aloo (New)
CHICKEN POWDER,Chicken Qeema w/ Aloo (New)
QEEMA MASALA,Chicken Qeema w/ Aloo (New)
ONION,Chicken Qeema w/ Aloo (New)
RED POTATO - LAL ALOO,Chicken Qeema w/ Aloo (New)
TOMATO,Chicken Qeema w/ Aloo (New)
EVA (Cooking Oil  liter Pkt),Chicken Qeema w/ Aloo (New)
SALT,CHICKEN ROTI ROLL
CHICKEN BONELESS,CHICKEN ROTI ROLL
MAYONAISE PLAIN,CHICKEN ROTI ROLL
TOMATO KETCHUP,CHICKEN ROTI ROLL
ICEBERG,CHICKEN ROTI ROLL
EVA (Cooking Oil  liter Pkt),CHICKEN ROTI ROLL
EGG ,CHICKEN ROTI ROLL
TIKKA MASALA,CHICKEN ROTI ROLL
CHICKEN POWDER,CHICKEN ROTI ROLL
HOME MADE ROTI,CHICKEN ROTI ROLL
CUMMIN SEEDS - ZEERA,CHICKEN ROTI ROLL
GINGER PASTE  ADRAK PASTE,CHICKEN ROTI ROLL
GARLIC PASTE  LEHSAN PASTE,CHICKEN ROTI ROLL
SALT,TOSTED VEGETABLE SANDWICH
EVA (Cooking Oil  liter Pkt),TOSTED VEGETABLE SANDWICH
ONION,TOSTED VEGETABLE SANDWICH
CABBAGE BAND GOBI,TOSTED VEGETABLE SANDWICH
CORIANDER - KOTHMIR DHANIA,TOSTED VEGETABLE SANDWICH
CARROT - GAJAR,TOSTED VEGETABLE SANDWICH
RED POTATO - LAL ALOO,TOSTED VEGETABLE SANDWICH
VEGETABLE MASALA,TOSTED VEGETABLE SANDWICH
GARLIC PASTE  LEHSAN PASTE,TOSTED VEGETABLE SANDWICH
GINGER PASTE  ADRAK PASTE,TOSTED VEGETABLE SANDWICH
BREAD SLICE LARGE,TOSTED VEGETABLE SANDWICH
VEGETABLE MASALA,Toasted Veg Sandwich w/ Potato
LARGE BREAD,Toasted Veg Sandwich w/ Potato
TOMATO,Toasted Veg Sandwich w/ Potato
POTATO (BIG SIZE),Toasted Veg Sandwich w/ Potato
CORIANDER - KOTHMIR DHANIA,Toasted Veg Sandwich w/ Potato
BUTTER,Toasted Veg Sandwich w/ Potato
GINGER PASTE  ADRAK PASTE,Toasted Veg Sandwich w/ Potato
GARLIC PASTE  LEHSAN PASTE,Toasted Veg Sandwich w/ Potato
CHAT MASALA,Toasted Veg Sandwich w/ Potato
CUMMIN SEEDS - ZEERA,Toasted Veg Sandwich w/ Potato
CORIANDER POWDER - DHANIA,Toasted Veg Sandwich w/ Potato
SAUF FENNEL SAUF POWDER,Toasted Veg Sandwich w/ Potato
TURMERIC POWDER - HALDI,Toasted Veg Sandwich w/ Potato
EVA (Cooking Oil  liter Pkt),Toasted Veg Sandwich w/ Potato
CHEESE - MOZARELLA,Toasted Veg Sandwich w/ Potato
SALT,Toasted Veg Sandwich w/ Potato
CHICKEN POWDER,Toasted Veg Sandwich w/ Potato
WHITE PEPPER POWDER,Toasted Veg Sandwich w/ Potato
BLACK PEPPER POWDER,Toasted Veg Sandwich w/ Potato
CUMMIN POWDER - ZEERA,Toasted Veg Sandwich w/ Potato
SALT,CHICKEN ROTI ROLL
CHICKEN BONELESS,CHICKEN ROTI ROLL
EVA (Cooking Oil  liter Pkt),CHICKEN ROTI ROLL
GARLIC PASTE  LEHSAN PASTE,CHICKEN ROTI ROLL
GINGER PASTE  ADRAK PASTE,CHICKEN ROTI ROLL
MAYONAISE PLAIN,CHICKEN ROTI ROLL
TOMATO KETCHUP,CHICKEN ROTI ROLL
TIKKA MASALA,CHICKEN ROTI ROLL
ICEBERG,CHICKEN ROTI ROLL
HOME MADE WHEAT ROTI,CHICKEN ROTI ROLL
SALT,VEGETABLE SANDWICH
TOMATO,VEGETABLE SANDWICH
ONION,VEGETABLE SANDWICH
RED POTATO - LAL ALOO,VEGETABLE SANDWICH
CORIANDER - KOTHMIR DHANIA,VEGETABLE SANDWICH
PODINA MINT LEAVES,VEGETABLE SANDWICH
VEGETABLE MASALA,VEGETABLE SANDWICH
GINGER PASTE  ADRAK PASTE,VEGETABLE SANDWICH
GARLIC PASTE  LEHSAN PASTE,VEGETABLE SANDWICH
LARGE BREAD,VEGETABLE SANDWICH
TOMATO KETCHUP,VEGETABLE SANDWICH
 DAHI CURD,VEGETABLE SANDWICH
SALT,CHICKEN BURGER
CHICKEN QEEMA,CHICKEN BURGER
EGG ,CHICKEN BURGER
EVA (Cooking Oil  liter Pkt),CHICKEN BURGER
GINGER PASTE  ADRAK PASTE,CHICKEN BURGER
GARLIC PASTE  LEHSAN PASTE,CHICKEN BURGER
MUSTARD POWDER,CHICKEN BURGER
VEGETABLE MASALA,CHICKEN BURGER
LARGE BREAD,CHICKEN BURGER
ONION,CHICKEN BURGER
CUMMIN POWDER - ZEERA,CHICKEN BURGER
BLACK PEPPER POWDER,CHICKEN BURGER
WHITE PEPPER POWDER,CHICKEN BURGER
BURGER BUN,CHICKEN BURGER
SALAD PATTA,CHICKEN BURGER
BREAD CRUMS,CHICKEN BURGER
SALT,CHICKEN CHATNI ROTI ROLL
GARLIC PASTE  LEHSAN PASTE,CHICKEN CHATNI ROTI ROLL
TIKKA MASALA,CHICKEN CHATNI ROTI ROLL
 DAHI CURD,CHICKEN CHATNI ROTI ROLL
COCONUT POWDER KHOPRRA,CHICKEN CHATNI ROTI ROLL
Kajju,CHICKEN CHATNI ROTI ROLL
HOME MADE WHEAT ROTI,CHICKEN CHATNI ROTI ROLL
CHICKEN BONELESS,CHICKEN CHATNI ROTI ROLL
ICEBERG,CHICKEN CHATNI ROTI ROLL
CORIANDER - KOTHMIR DHANIA,CHICKEN CHATNI ROTI ROLL
PODINA MINT LEAVES,CHICKEN CHATNI ROTI ROLL
TAMARIND - AAMLI,CHICKEN CHATNI ROTI ROLL
GINGER PASTE  ADRAK PASTE,CHICKEN CHATNI ROTI ROLL
CHICKEN POWDER,Club Sandwich
EVA (Cooking Oil  liter Pkt),Club Sandwich
TIKKA MASALA,Club Sandwich
LARGE BREAD,Club Sandwich
WHITE PEPPER POWDER,Club Sandwich
BLACK PEPPER POWDER,Club Sandwich
CHICKEN BONELESS,Club Sandwich
EGG ,Club Sandwich
SALT,Club Sandwich
Mayonnaise,Club Sandwich
BUTTER,Club Sandwich
CHEESE - MOZARELLA,Club Sandwich
SALT,LONG BUN SANDWICH
CHICKEN BONELESS,LONG BUN SANDWICH
TOMATO,LONG BUN SANDWICH
CUCUMBER - KEHRA,LONG BUN SANDWICH
SALAD PATTA,LONG BUN SANDWICH
EGG ,LONG BUN SANDWICH
LONG BUN,LONG BUN SANDWICH
TOMATO KETCHUP,LONG BUN SANDWICH
TIKKA MASALA,LONG BUN SANDWICH
EVA (Cooking Oil  liter Pkt),LONG BUN SANDWICH
GINGER PASTE  ADRAK PASTE,LONG BUN SANDWICH
GARLIC PASTE  LEHSAN PASTE,LONG BUN SANDWICH
CHICKEN POWDER,LONG BUN SANDWICH
LARGE BREAD,Veg Sandwich w/ Butter (New) (Monday)
BUTTER,Veg Sandwich w/ Butter (New) (Monday)
TOMATO,Veg Sandwich w/ Butter (New) (Monday)
CUCUMBER - KEHRA,Veg Sandwich w/ Butter (New) (Monday)
SALT,Veg Sandwich w/ Butter (New) (Monday)
BLACK PEPPER POWDER,Veg Sandwich w/ Butter (New) (Monday)
WHITE PEPPER POWDER,Veg Sandwich w/ Butter (New) (Monday)
SALAD PATTA,Veg Sandwich w/ Butter (New) (Monday)
CHEESE - MOZARELLA,Veg Sandwich w/ Butter (New) (Monday)
MUTTON MINCE,Mutton Frankie Roti Roll
EGG ,Mutton Frankie Roti Roll
HOME MADE WHEAT ROTI,Mutton Frankie Roti Roll
EVA (Cooking Oil  liter Pkt),Mutton Frankie Roti Roll
GINGER PASTE  ADRAK PASTE,Mutton Frankie Roti Roll
GARLIC PASTE  LEHSAN PASTE,Mutton Frankie Roti Roll
SALAD PATTA,Mutton Frankie Roti Roll
MAYONAISE PLAIN,Mutton Frankie Roti Roll
CORIANDER POWDER - DHANIA,Mutton Frankie Roti Roll
CUMMIN POWDER - ZEERA,Mutton Frankie Roti Roll
CUMMIN SEEDS - ZEERA,Mutton Frankie Roti Roll
TURMERIC POWDER - HALDI,Mutton Frankie Roti Roll
CHICKEN POWDER,Mutton Frankie Roti Roll
TIKKA MASALA,Mutton Frankie Roti Roll
CHICKEN BONELESS,Chicken Clear Soup
CHICKEN POWDER,Chicken Clear Soup
SALT,Chicken Clear Soup
CORN FLOUR ,Chicken Clear Soup
007 BIRYANI MASALA,Mag Pulaw
CUMMIN POWDER - ZEERA,Mag Pulaw
CUMMIN SEEDS - ZEERA,Mag Pulaw
CORIANDER POWDER - DHANIA,Mag Pulaw
TURMERIC POWDER - HALDI,Mag Pulaw
SALT,Mag Pulaw
SUNT - GINGER ADRAK POWDER,Mag Pulaw
CHAT MASALA,Mag Pulaw
CHICKEN POWDER,Mag Pulaw
EVA (Cooking Oil  liter Pkt),Mag Pulaw
MOONG DAAL YELLOW,Mag Pulaw
GREEN CAPSICUM,Kashmiri Soup
MAIDA,Kashmiri Soup
EVA (Cooking Oil  liter Pkt),Kashmiri Soup
CHICKEN POWDER,Kashmiri Soup
SALT,Kashmiri Soup
MAIDA,Tomato Ketchup Soup
EVA (Cooking Oil  liter Pkt),Tomato Ketchup Soup
CHILLI SAUCE,Tomato Ketchup Soup
EGG ,Tomato Ketchup Soup
Cream Nestle pkt,Tomato Ketchup Soup
TOMATO KETCHUP,Tomato Ketchup Soup
WHITE PEPPER POWDER,Tomato Ketchup Soup
BLACK PEPPER POWDER,Tomato Ketchup Soup
CHICKEN POWDER,Tomato Ketchup Soup
SALT,Tomato Ketchup Soup
SAUF FENNEL SAUF POWDER,Mutton Kaari
CHICKEN POWDER,Mutton Kaari
COCONUT POWDER KHOPRRA,Mutton Kaari
Badiyan,Mutton Kaari
CUMMIN SEEDS - ZEERA,Mutton Kaari
CHAT MASALA,Mutton Kaari
SALT,Mutton Kaari
GARLIC PASTE  LEHSAN PASTE,Mutton Kaari
GINGER PASTE  ADRAK PASTE,Mutton Kaari
TURMERIC POWDER - HALDI,Mutton Kaari
Cream Nestle pkt,Mutton Kaari
Kajju,Mutton Kaari
TAMARIND - AAMLI,Mutton Kaari
EVA (Cooking Oil  liter Pkt),Mutton Kaari
CUMMIN POWDER - ZEERA,Mutton Kaari
CORIANDER POWDER - DHANIA,Mutton Kaari
KARI MASALA,Mutton Kaari
MUTTON BOTI CUT,Mutton Kaari
Coconut Cream Powder,Mutton Kaari
Jalapeno,Jalapeno Cheese Fingers
BUTTER,Jalapeno Cheese Fingers
BI-CARBONATE OF SODA (100 grm),Jalapeno Cheese Fingers
SALT,Jalapeno Cheese Fingers
Buttermilk,Jalapeno Cheese Fingers
EGG,Jalapeno Cheese Fingers
CHEESE - CHEDDAR,Jalapeno Cheese Fingers
SPRING ONION - LILY PIYAZ,Jalapeno Cheese Fingers
Corn Meal,Jalapeno Cheese Fingers
WHITE SUGAR,Jalapeno Cheese Fingers
