InventoryItem,Parent
CORIANDER POWDER - DHANIA,Malvi Gosht Tarkari
CHICKEN POWDER,Malvi Gosht Tarkari
SALT,Malvi Gosht Tarkari
EVA (Cooking Oil  liter Pkt),Malvi Gosht Tarkari
GARAM MASALA WHOLE,Malvi Gosht Tarkari
BASMATI RICE,MASOOR PULAW
MASOOR WHOLE,MASOOR PULAW
EVA (Cooking Oil  liter Pkt),MASOOR PULAW
CUMMIN SEEDS - ZEERA,MASOOR PULAW
CHICKEN POWDER,MASOOR PULAW
SALT,MASOOR PULAW
CORIANDER - KOTHMIR DHANIA,MASOOR PULAW
PODINA MINT LEAVES,MASOOR PULAW
GINGER PASTE  ADRAK PASTE,MASOOR PULAW
GARLIC PASTE  LEHSAN PASTE,MASOOR PULAW
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,MASOOR PULAW
GARAM MASALA WHOLE,MASOOR PULAW
Tez Pattak,MASOOR PULAW
RED POTATO - LAL ALOO,MASOOR PULAW
TOMATO,MASOOR PULAW
 DAHI CURD,MASOOR PULAW
BHAJIA CHILLIES - BIG PAKORA MIRCH,MASOOR PULAW
MAIDA,CHICKEN NIHARI
CUMMIN SEEDS - ZEERA,CHICKEN NIHARI
CUMMIN POWDER - ZEERA,CHICKEN NIHARI
CORIANDER - KOTHMIR DHANIA,CHICKEN NIHARI
SALT,CHICKEN NIHARI
GARLIC PASTE  LEHSAN PASTE,CHICKEN NIHARI
GINGER - ADRAK,CHICKEN NIHARI
LEMON,CHICKEN NIHARI
CHICKEN KARAHI CUT MEAT,CHICKEN NIHARI
ATTA,CHICKEN NIHARI
SHAN NIHARI MASALA ,CHICKEN NIHARI
TURMERIC POWDER - HALDI,CHICKEN NIHARI
CORIANDER POWDER - DHANIA,CHICKEN NIHARI
GARAM MASALA POWDER,CHICKEN NIHARI
CHICKEN POWDER,CHICKEN NIHARI
EVA (Cooking Oil  liter Pkt),CHICKEN NIHARI
GINGER PASTE  ADRAK PASTE,CHICKEN NIHARI
CHICKEN BONELESS,CHICKEN VEGETABLE NOODLES 
NOODLES 500 grm,CHICKEN VEGETABLE NOODLES 
BLACK PEPPER POWDER,CHICKEN VEGETABLE NOODLES 
WHITE PEPPER POWDER,CHICKEN VEGETABLE NOODLES 
EVA (Cooking Oil  liter Pkt),CHICKEN VEGETABLE NOODLES 
CARROT - GAJAR,CHICKEN VEGETABLE NOODLES 
SPRING ONION - LILY PIYAZ,CHICKEN VEGETABLE NOODLES 
FRENCH BEANS - FANSI,CHICKEN VEGETABLE NOODLES 
CUMMIN SEEDS - ZEERA,CHICKEN VEGETABLE NOODLES 
CHICKEN POWDER,CHICKEN VEGETABLE NOODLES 
SALT,TOMATO SOUP
BLACK PEPPER POWDER,TOMATO SOUP
WHITE PEPPER POWDER,TOMATO SOUP
VINEGAR,TOMATO SOUP
TOMATO,TOMATO SOUP
SWEET CORN (250 grm),TOMATO SOUP
CORN FLOUR ,TOMATO SOUP
CHICKEN CUBES (51 GRMS),TOMATO SOUP
EGG ,TOMATO SOUP
SALT,CHICKEN WHITE SAUCE BONES LESS TARKARI 
CHICKEN BONELESS,CHICKEN WHITE SAUCE BONES LESS TARKARI 
 DAHI CURD,CHICKEN WHITE SAUCE BONES LESS TARKARI 
Cream Nestle pkt,CHICKEN WHITE SAUCE BONES LESS TARKARI 
MAYONAISE PLAIN,CHICKEN WHITE SAUCE BONES LESS TARKARI 
EVA (Cooking Oil  liter Pkt),CHICKEN WHITE SAUCE BONES LESS TARKARI 
GINGER PASTE  ADRAK PASTE,CHICKEN WHITE SAUCE BONES LESS TARKARI 
GARLIC PASTE  LEHSAN PASTE,CHICKEN WHITE SAUCE BONES LESS TARKARI 
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,CHICKEN WHITE SAUCE BONES LESS TARKARI 
CUMMIN SEEDS - ZEERA,CHICKEN WHITE SAUCE BONES LESS TARKARI 
CHICKEN POWDER,CHICKEN WHITE SAUCE BONES LESS TARKARI 
WHITE PEPPER POWDER,CHICKEN WHITE SAUCE BONES LESS TARKARI 
EVA (Cooking Oil  liter Pkt),PLAIN WHITE RICE 
BASMATI RICE,PLAIN WHITE RICE 
CUMMIN SEEDS - ZEERA,PLAIN WHITE RICE 
SALT,PLAIN WHITE RICE 
CHICKEN POWDER,White Soup
CHICKEN BONELESS,White Soup
BLACK PEPPER POWDER,White Soup
WHITE PEPPER POWDER,White Soup
SALT,White Soup
MAIDA,White Soup
EGG ,White Soup
